"","Accuracy","Precision","Sensitivity","Specificity"
"1",0.722222222222222,0.630434782608696,0.90625,0.575
"2",0.638888888888889,0.511111111111111,0.851851851851852,0.511111111111111
"3",0.704225352112676,0.644444444444444,0.852941176470588,0.567567567567568
"4",0.652777777777778,0.62962962962963,0.871794871794872,0.393939393939394
"5",0.605633802816901,0.595744680851064,0.756756756756757,0.441176470588235
"6",0.527777777777778,0.5,0.676470588235294,0.394736842105263
"7",0.676056338028169,0.688888888888889,0.775,0.548387096774194
"8",0.611111111111111,0.581395348837209,0.714285714285714,0.513513513513513
"9",0.633802816901408,0.55,0.733333333333333,0.560975609756098
"10",0.652777777777778,0.6,0.794117647058823,0.526315789473684
"11",0.75,0.739130434782609,0.85,0.625
"12",0.676056338028169,0.627906976744186,0.794117647058823,0.567567567567568
"13",0.694444444444444,0.673076923076923,0.875,0.46875
"14",0.647887323943662,0.590909090909091,0.787878787878788,0.526315789473684
"15",0.652777777777778,0.638297872340426,0.789473684210526,0.5
"16",0.676056338028169,0.622641509433962,0.916666666666667,0.428571428571429
"17",0.736111111111111,0.745098039215686,0.863636363636364,0.535714285714286
"18",0.704225352112676,0.652173913043478,0.857142857142857,0.555555555555556
"19",0.597222222222222,0.595744680851064,0.736842105263158,0.441176470588235
"20",0.625,0.6,0.75,0.5
